APR 28 2026 10:21
script:https://script.google.com/macros/s/AKfycbzYEREHz2GuCYaHQzpvvHnUvvsRhIC8EbyhbCbrfQXkSu6gkP7kb5iIL5LY4WAF3rfFow/exec
src:https://docs.google.com/spreadsheets/d/1mVlD8LNfr3SSwht4LTGA6OFh8hcJ7jwjIEK1XbCHz28/edit?gid=277428880#gid=277428880
------------------------------------------------------------------------------
title	author	link	image	category	sub-category	status	page	type	animated
Bold Chess	Erik Allebest & Jay Severson	https://bguhm.github.io./library/chess/index.html	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGgAAABoCAYAAAAdHLWhAAAAAXNSR0IArs4c6QAABpBJREFUeF7tXL1OFVEQXioLE6ywUuMD0FhQGAvgJeylJLHQFwBeQAsTSux9CaAwmlDQ8ABGraSSRBMqzKwOnjvMnpmz52dnyWxCQnLPnjPn+843f7v3LnVdd9X5ZRaBJSfILDe9YU6QbX6cIOP8OEFOkHUEjNvnMcgJMo6AcfNcQU6QcQSMm+cKcoKMI2DcPFeQE2QcAePmuYKcIOMIGDfPFeQE1UVgY2OjX2BnZ6c7Pj7u/z86Our/bsM1awUdHh52SBAlY29vr9vd3Z09R7MlKEZOyMrm5uas1TRLgkAZ4NI0F7g6IGmu1+wIouQAAeDOMOZw5M3Z3c2OIOralpZgC4sXxCUYh9ecVTQ7gq6u/r8lFlOGhsg5uL1bSxB1dXNNFmZNUMx1UYI4V+gKqoBA6LpiBIWu0GNQBSKGpuSyOJpG0/jjWVxDgmAprkjFNJvrLMzVvcFei8UgAAaLR/gfAIPeWI2+WEqhWkM9dK8AJKwDV+n2UjZBaOxQTwyNL2l4CkGl44+0Ni2cc51LNkFhMI4ZU+okczGIWzc8MLXWju23VFqfRRB3mtC1ra+v3+g0lzCaHghNJ6H35UzHIeV0c3v99em0n+L359Nu5dXWwnSllDuaIE02pRmTA1JMGaXXpgfjy/OXHRKEe3j84V139+mT6y2VOJDFCBo6oaUKRu4ES6qg2V4OYCFB528Puh9vDm6cLSAHSCrZAxxNkLZgpI3LsSDRE6yJK6WapnQeTj2cikq4ueoEgeHaBqe2OKXkrN25120vP+xOLi+6/YuvC9OUKFqpemME3X+9tRCPJJVLLr46QblNS3p6uYB/9uDZ9T5PLn92L87PFvZN1adV8VAJoVWQRuXVCKLADxmjybpiRkrrbC8/6tUTXvsX3xaUlOrqpNoOkgMgiV5UPZMSxJ1sfLIJvpfbZKrBEjkAUKieEDBQEagJL62rkwpRnA9IgvQakgVIDuCPptq57q33Fjlfw9duBjeVarCkPk49uBZ1dZKrjO0FazvtexBgQ+phHPIiWQTBpFqStH4fDZXUQ8kBt7Z2Z7mDhAEvqiKuNoJ+4RDwtG3DkcwBW4qcbAUNgUmNziWHS1epa8PE4P3K6sLyq98/RrM6DmCpnxY7lKl7rZYkcBPDCQvf9MQxqUZL8YJTD6bX9DONqwv3knL6sQGMjzpqvM2a7eKGiArfqknZNMwXq5u4uENVAipKcXUlY4akiNTPqxAERmg7DZzBcDKh2QoXfVpKXRtNqeEeICd0dVxthG6qRLWfCnrK+CYE9cGOdJNj1f/QBmKujd5DVcQRya2DdsFncE+YqqcAW2psNYKkHpxGCXST9B7q2qTxNKuj46X4VQr0lHmaEUTjED3haPTQSU9RD86lBTxWT0mHIAXsMWOrESTFoSGCOKLGkIPzxBIGdGdhQhGCqHWLY4DX3tOMIBqHaCDnDEaAUl1bOBe3Drg66N8NESOpWQtuiXFVCYrFIS7TkgDDwE0fKUhAxFxY7N6p3Vt/qHN6cRIw8HnsDc/Q/WAqLIE5FrSYS4W1Qa2hqrjUXLPf0mOqExSrhyhoCD6QBJf0GCEFDM7VITGYSoeu1EL8aaKg2NdAKGg0DQ7VVAIwnI8S8/cwLD5X4tbDFzJTDkbu2OoKSqmHpnQrlCDqStFVp7atzBM0Jg7lbmrM/Vw8xHnC7nXr1lB1BaXWQ2OTgDGkhPfE4k9OXzHXruYESfWQ1I7J3TB3vxR/ct9KyrG5CUHW41As/uS+lZRDTpMsDg1MrYdyN5Zyvzb+UPWnrDF2bBMFWY9Dsfgz9VcpmxEUcxVSPTT29Gnuo+6NxsAp409TF2c1DlmOP00JSqmHNCe/xhhaKJf6ZkaOrc1cnBSHpCZpzia199L2ztTxp7mCUuKQFtSS44baO7BG6xYP7qupgqQ4hF3skqBr5wL3Fr4gMnX9MwlBUhzSgtlinIX409zFSXGoBfDaNaZOrydTkOTmtADWHucE/UO4xvvMJcgLf2ch9d3yEutPpiAah0puptZcqd9rKmlH0ywODdf+Ym/JjY6da6r0elIFweLhC/JjwWtx39S/GDyJgloAe1vWcIKMM+kEOUHGETBunivICTKOgHHzXEFOkHEEjJvnCnKCjCNg3DxXkBNkHAHj5rmCnCDjCBg3zxXkBBlHwLh5riAnyDgCxs1zBTlBxhEwbp4ryAkyjoBx81xBTpBxBIyb5wpygowjYNw8V5ATZBwB4+a5gowT9AfqMidM3NOAvQAAAABJRU5ErkJggg==			ok	1	none	
Bad Parenting	2oo2 Studio	https://bguhm.github.io./library/bad-parenting/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/bad-parenting.png			ok	1	none	
Stickman Hook	By MADBOX	https://bguhm.github.io./library/stickman-hook/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/stickman.jpg			ok	1	none	
Subway Surfers	SYBO & killo	https://bguhm.github.io./library/subway-surfers-ny/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/surfers.jpeg			ok	1	none	
Temple Run	imangi studios	https://bguhm.github.io./library/templerun2/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/temple-run.jpg			ok	1	none	
Drift Boss	MarketJS	https://mcmattyobriore.github.io./DriftBoss/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/drift.png			ok	1	none	
Lacy's Flash Games	ghosttundra & euroclipse & brand none groove	https://bguhm.github.io./library/laceys-flash-games/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/lacey.jpeg			ok	1	none	
Blumgi Ball	Blumgi Studios	https://mcmattyobriore.github.io./BlumgiBall/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/blumgi-ball.jpeg			ok	1	none	
Blumgi Bloom	Blumgi Studios	https://mcmattyobriore.github.io./BlumgiBloom/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/blumgi-bloom.jpeg			ok	1	none	
Blumgi Castle	Blumgi Studios	https://mcmattyobriore.github.io./BlumgiCastle/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/blumgi-castle.jpeg			ok	1	none	
